Node	Total SNPs	Number of SNPs Inside Recombinations	Number of SNPs Outside Recombinations	Number of Recombination Blocks	Bases in Recombinations	Cumulative Bases in Recombinations	r/m	rho/theta	Genome Length	Bases in Clonal Frame
1130991	362	300	62	18	15695	494182	4.838710	0.290323	2178849	1714081
1123850	1281	985	296	33	21408	373927	3.327703	0.111486	2132014	1879041
TUM15748	297	240	57	15	4309	383877	4.210526	0.263158	2132224	1796656
RIVM0640	0	0	0	0	0	470443	0.000000	0.000000	2180889	1727126
10531	50	36	14	2	0	348403	2.571429	0.142857	2128504	1797161
SRRSH205	1	0	1	0	0	406175	0.000000	0.000000	2139055	1752109
10795	9	8	1	2	0	358412	8.000000	2.000000	2119115	1777558
FQ84	6	3	3	1	0	393569	1.000000	0.333333	2147902	1771857
SRRSH203	0	0	0	0	0	406175	0.000000	0.000000	2137432	1750787
SRRSH207	0	0	0	0	0	397372	0.000000	0.000000	2137952	1760849
10529	360	216	144	16	2319	361042	1.500000	0.111111	2118933	1792020
BJ16148	41	27	14	2	0	379775	1.928571	0.142857	2132211	1779227
FQ20	120	118	2	3	342	456367	59.000000	1.500000	2150043	1724047
10524	47	30	17	5	342	346419	1.764706	0.294118	2123792	1793672
CT530	258	223	35	17	6065	583656	6.371428	0.485714	2088533	1567351
10771	19	6	13	1	0	348403	0.461538	0.076923	2123203	1791730
NG196	818	615	203	41	12743	405782	3.029557	0.201970	2148136	1810223
FDAARGOS_207	1188	720	468	41	67812	209893	1.538462	0.087607	2088255	1959527
FQ48	875	846	29	19	15695	498354	29.172413	0.655172	2172794	1725614
10538	64	54	10	7	12086	522079	5.400000	0.700000	2181843	1672271
NG290	316	252	64	9	803	420776	3.937500	0.140625	2149973	1763966
9112	669	566	103	22	30068	476314	5.495146	0.213592	2200073	1767970
CT602	171	136	35	12	6065	559854	3.885714	0.342857	2080376	1559484
10744	14	7	7	2	0	363301	1.000000	0.285714	2130748	1785314
CT532	115	97	18	6	137	392406	5.388889	0.333333	2091162	1730527
10794	32	25	7	2	0	358228	3.571429	0.285714	2121958	1781930
10536	12	3	9	1	0	521813	0.333333	0.111111	2185704	1673872
FQ35	78	76	2	2	0	457207	38.000000	1.000000	2146992	1720702
9343	11	0	11	0	0	345491	0.000000	0.000000	2129601	1798008
9431	32	13	19	2	0	340813	0.684211	0.105263	2127644	1803614
10231	250	173	77	11	646	359763	2.246753	0.142857	2122954	1785008
10736	208	134	74	12	746	331883	1.810811	0.162162	2126773	1815377
9464	13	0	13	0	0	340737	0.000000	0.000000	2128703	1805843
WHO_Y_2024	69	46	23	7	1689	480758	2.000000	0.304348	2181352	1732919
TH1713	1	0	1	0	0	483312	0.000000	0.000000	2144579	1682938
WHO_H_2024	367	303	64	20	15695	495184	4.734375	0.312500	2182357	1714432
2020N07-265	307	247	60	14	6423	429741	4.116667	0.233333	2105271	1710323
WHO_R_2024	142	121	21	10	1020	401348	5.761905	0.476190	2137320	1783342
2018S05-288	673	620	53	32	29403	427939	11.698113	0.603774	2106099	1756430
WHO_C_2024	4	0	4	0	0	360760	0.000000	0.000000	2070518	1744021
WHO_V_2024	133	101	32	11	6444	563782	3.156250	0.343750	2177512	1644109
2018C07-301	180	151	29	11	2708	416193	5.206897	0.379310	2156270	1750296
2022NG-0076	1209	1151	58	30	14541	544687	19.844828	0.517241	2098113	1642930
WHO_O_2024	667	550	117	30	14089	398174	4.700855	0.256410	2097778	1793326
2004S05-027	1489	945	544	44	43625	272283	1.737132	0.080882	2143292	1955877
SAMEA116302675	7	6	1	2	0	531113	6.000000	2.000000	2144509	1633672
WHO_J_2024	16	6	10	2	0	401777	0.600000	0.200000	2109747	1732829
WHO_G_2024	1	0	1	0	0	376280	0.000000	0.000000	2101724	1760169
WHO_P_2024	113	101	12	6	137	463620	8.416667	0.500000	2107356	1679151
WHO_W_2024	559	490	69	26	25894	452786	7.101449	0.376812	2156881	1802131
2020C08-294	1472	1241	231	55	42210	502464	5.372294	0.238095	2157516	1785373
WHO_A_2024	1758	1261	497	62	36726	344904	2.537223	0.124748	2131705	1888558
WHO_S_2024	855	800	55	17	2319	313275	14.545455	0.309091	2131416	1863999
2020S05-258	1682	1391	291	63	38063	528155	4.780069	0.216495	2154803	1760065
WHO_I_2024	32	27	5	4	0	398877	5.400000	0.800000	2082773	1710460
WHO_Z_2024	367	327	40	13	8008	411444	8.175000	0.325000	2161422	1763494
WHO_N_2024	0	0	0	0	0	376987	0.000000	0.000000	2099941	1756573
WHO_alpha_2024	831	687	144	34	24239	393713	4.770833	0.236111	2182514	1847621
WHO_B_2024	1489	1111	378	54	11273	402354	2.939153	0.142857	2134127	1822770
WHO_K_2024	155	119	36	7	137	366840	3.305556	0.194444	2097179	1764093
TH2288	9	5	4	1	0	483381	1.250000	0.250000	2144439	1682088
2020N08-318	290	238	52	18	19296	421896	4.576923	0.346154	2159247	1757711
WHO_S2_2024	559	495	64	21	13209	508982	7.734375	0.328125	2103073	1649707
2010C02-038	607	456	151	25	22715	353435	3.019868	0.165563	2107191	1831132
2014E02-242	1512	1349	163	57	21269	582785	8.276073	0.349693	2147606	1675523
WHO_Q_2024	266	224	42	12	10900	499284	5.333333	0.285714	2106892	1650916
SAMEA116302676	5	4	1	1	0	531113	4.000000	1.000000	2144400	1633364
WHO_beta_2024	540	478	62	24	13805	494163	7.709677	0.387097	2087466	1667542
WHO_D_2024	2076	1272	804	67	42791	264196	1.582090	0.083333	2099460	1902550
2022NG-0032	2251	1577	674	67	60530	462372	2.339763	0.099407	2113280	1731401
WHO_F_2024	0	0	0	0	0	327658	0.000000	0.000000	2130893	1819406
WHO_E_2024	1176	1033	143	39	40684	357934	7.223776	0.272727	2124563	1920953
WHO_U_2024	302	272	30	11	12811	481343	9.066667	0.366667	2167393	1704673
2016E02-233	548	469	79	27	24487	577381	5.936709	0.341772	2174762	1661770
NCTC8375	3	0	3	0	0	409181	0.000000	0.000000	2127509	1733554
WHO_T_2024	80	34	46	7	6905	360999	0.739130	0.152174	2146085	1796494
WHO_M_2024	45	38	7	5	92	430169	5.428571	0.714286	2120551	1707939
WHO_L_2024	930	765	165	32	25005	494219	4.636364	0.193939	2084918	1695328
WHO_X_2024	224	209	15	11	2708	418425	13.933333	0.733333	2104135	1711536
ERR10172670	3029	1865	1164	92	57744	324608	1.602234	0.079038	2146019	1882872
ERR502228	1530	1216	314	38	17417	278900	3.872612	0.121019	2123096	1977251
ERR1555231	3600	1855	1745	110	114502	178340	1.063037	0.063037	2146510	2041782
ERR349890	1669	1364	305	42	13129	473595	4.472131	0.137705	2114227	1773355
ERR439323	3727	1670	2057	111	71232	262596	0.811862	0.053962	2038564	1841890
ERR9668994	974	765	209	43	24340	463774	3.660287	0.205742	2140149	1759919
ERR3579023	2311	1213	1098	71	46263	356532	1.104736	0.064663	2082515	1787001
ERR388448	1507	964	543	52	29744	352105	1.775322	0.095764	2087972	1809816
DDD048	2334	1580	754	67	18293	563982	2.095491	0.088859	2109806	1615744
ERR363619	3586	1779	1807	103	93490	152148	0.984505	0.057001	2139179	2045194
AUNG92	825	646	179	38	15124	451293	3.608938	0.212290	2051910	1696104
DRR248416	533	417	116	21	12258	217246	3.594828	0.181034	2107590	1947402
ERR976912	1729	1299	430	56	34050	375083	3.020930	0.130233	2101870	1822820
ERR439309	3434	1802	1632	102	105082	195057	1.104167	0.062500	2124294	1986968
ERR439348	3314	1692	1622	115	52328	226629	1.043157	0.070900	2105271	1937185
ERR3325990	2152	1503	649	68	37365	556711	2.315871	0.104777	2135627	1642659
SRR1661329	10	7	3	1	0	376987	2.333333	0.333333	2098993	1754487
ERR349961	1198	822	376	50	44880	235548	2.186170	0.132979	2137810	1985427
SRR3360629	1137	966	171	41	28077	462528	5.649123	0.239766	2153676	1744624
ERR9837719	1788	1442	346	46	17994	483578	4.167630	0.132948	2090390	1728475
AUNG2022	2489	1389	1100	77	64739	313448	1.262727	0.070000	2106975	1856662
SRR3360872	1210	864	346	38	28169	188906	2.497110	0.109827	2141973	2056601
DRR248352	705	570	135	18	11454	429703	4.222222	0.133333	2080334	1737213
SRR3349919	2140	1335	805	76	54167	342222	1.658385	0.094410	2091252	1826236
ERR3577590	786	568	218	37	32109	383709	2.605505	0.169725	2093789	1808984
ERR3577528	2367	1590	777	83	74095	476700	2.046332	0.106821	2129353	1733504
ERR7986758	1415	1073	342	46	28812	447161	3.137427	0.134503	2104587	1729855
25818_3_255	99	50	49	6	6905	365962	1.020408	0.122449	2147803	1798565
SRR25580290	993	709	284	42	27762	355436	2.496479	0.147887	2176529	1915987
SRR3360713	781	557	224	30	28693	305688	2.486607	0.133929	2100866	1898231
ERR9837827	1432	1148	284	53	33161	474099	4.042253	0.186620	2103961	1706986
ERR3577830	1304	1099	205	46	50286	383435	5.360976	0.224390	2075924	1805086
GCGS0472	372	267	105	13	12755	495733	2.542857	0.123810	2099772	1644155
ERR502182	1161	882	279	45	42308	474149	3.161290	0.161290	2185131	1802594
ERR9837911	1810	1347	463	66	19366	516050	2.909287	0.142549	2084517	1643692
ERR3579095	847	704	143	43	23278	464914	4.923077	0.300699	2150430	1774729
ERR439288	2571	1380	1191	87	50303	268798	1.158690	0.073048	2085154	1904841
SRR3360876	2829	1764	1065	86	39135	203939	1.656338	0.080751	2139585	2000885
CCC001	7	3	4	1	0	384182	0.750000	0.250000	2142084	1777466
ERR388423	3	0	3	0	0	398877	0.000000	0.000000	2069821	1700813
ERR3578026	1510	1139	371	64	78108	424896	3.070081	0.172507	2141598	1823258
GCGS0317	1315	1051	264	51	23452	396934	3.981061	0.193182	2118363	1820978
SRR13305435	1541	1031	510	50	35606	335189	2.021569	0.098039	2069142	1835379
25825_2_44	1955	1449	506	56	49985	338555	2.863636	0.110672	2137053	1910606
ERR388429	728	501	227	36	34015	410790	2.207048	0.158590	2162440	1839242
SRR5827167	1693	1337	356	61	36283	402248	3.755618	0.171348	2121998	1837015
ERR3577534	1523	1292	231	62	21082	409121	5.593073	0.268398	2154256	1841389
SRR8071121	4054	2119	1935	116	81929	134231	1.095090	0.059948	2144940	2077092
SRR3357289	975	798	177	39	34746	480088	4.508474	0.220339	2108095	1731349
ERR9839240	1575	1328	247	52	24990	545648	5.376518	0.210526	2102750	1659259
ERR7987388	2281	1753	528	69	38423	465587	3.320076	0.130682	2154004	1774746
ERR9669012	1323	1122	201	49	21813	587886	5.582089	0.243781	2151379	1650644
SRR6765617	12	6	6	2	5222	360970	1.000000	0.333333	2016633	1698799
DRR124887	2826	1948	878	97	54891	325393	2.218679	0.110478	2058278	1798062
ERR388329	3075	1962	1113	105	113204	405090	1.762803	0.094340	2122759	1796747
MA43	1479	1160	319	57	28831	504131	3.636364	0.178683	2039290	1652005
BH33	843	658	185	28	8470	312123	3.556757	0.151351	2143511	1948966
ERR3325773	1937	1739	198	46	33588	452993	8.782828	0.232323	2136759	1800424
POA56	1557	1093	464	60	28924	310644	2.355603	0.129310	2123679	1904895
ERR388452	1618	977	641	53	41612	294581	1.524181	0.082683	2146677	1914568
ERR388449	1474	907	567	51	59931	277783	1.599647	0.089947	2130396	1950829
ERR449484	1037	903	134	31	10251	380065	6.738806	0.231343	2125163	1875327
ERR3851726	3702	2293	1409	104	122789	279094	1.627395	0.073811	2106127	1894859
ERR449554	1135	860	275	43	25717	475388	3.127273	0.156364	2076688	1726786
GCGS1029	1075	944	131	44	36293	537874	7.206107	0.335878	2077361	1675272
ERR2799266	822	517	305	46	15450	341991	1.695082	0.150820	2090106	1815551
ERR363578	2867	1388	1479	86	125625	220424	0.938472	0.058147	2136614	1955857
ERR9838108	2750	1567	1183	103	98087	203606	1.324598	0.087067	2104000	1961916
MA30	2697	1724	973	92	70512	318175	1.771840	0.094553	2104537	1872276
ERR3623147	2469	1623	846	80	105300	268144	1.918440	0.094563	2149126	1966229
ERR502223	486	282	204	22	1978	280307	1.382353	0.107843	2133791	1907192
ERR9838966	3328	1875	1453	97	57282	170125	1.290434	0.066758	2135611	2035878
SRR25580233	1765	1340	425	68	55575	418163	3.152941	0.160000	2107872	1781831
GCGS0295	2420	1457	963	72	71628	221952	1.512980	0.074766	2144114	2004956
SRR2736142	833	627	206	43	64577	302236	3.043689	0.208738	2142452	1907990
ERR7977644	1148	916	232	37	4274	445343	3.948276	0.159483	2127325	1767724
SRR11904618	558	374	184	19	17528	366573	2.032609	0.103261	2112988	1811918
ERR9838746	1413	1115	298	58	23760	521441	3.741611	0.194631	2136658	1723076
DRR248439	168	128	40	9	850	198096	3.200000	0.225000	2156408	1986261
21242_4_62	664	592	72	29	20011	389205	8.222222	0.402778	2092863	1783422
ERR439324	1225	1004	221	29	1476	415279	4.542986	0.131222	2086345	1762493
SRR25580341	1118	810	308	42	27117	562627	2.629870	0.136364	2163518	1692102
ERR502221	1177	994	183	43	29647	382876	5.431694	0.234973	2116185	1864510
SRR5827299	3107	1775	1332	97	40823	304624	1.332583	0.072823	2060226	1821456
GCGS0362	791	660	131	32	20239	408392	5.038168	0.244275	2183253	1866505
ERR439287	1825	1404	421	60	6048	426391	3.334917	0.142518	2096687	1773357
GCGS0709	676	535	141	31	17564	435782	3.794326	0.219858	2113109	1765784
Ng_140	286	240	46	14	7758	535383	5.217391	0.304348	2070473	1589022
AUNG892	1184	803	381	40	18837	419866	2.107612	0.104987	2077503	1733344
SRR9878109	1513	1273	240	52	25132	494703	5.304167	0.216667	2120884	1740483
163M	736	428	308	36	21467	297170	1.389610	0.116883	2118084	1907475
ERR7987167	6019	2836	3183	147	86675	117152	0.890983	0.046183	2115834	2060716
ERR775141	3293	1456	1837	87	85721	192180	0.792597	0.047360	2125647	1979566
ERR9839204	1699	1410	289	63	47038	614155	4.878893	0.217993	2179201	1662225
ERR1555226	1511	1189	322	60	15729	429901	3.692547	0.186335	2094653	1762108
SRR11904845	2087	1604	483	69	37852	425557	3.320911	0.142857	2100690	1770401
SRR1661291	1283	1035	248	44	10683	366012	4.173387	0.177419	2075989	1803511
ERR9668983	1649	1354	295	62	12529	566470	4.589830	0.210169	2106216	1686166
ERR449492	3251	1599	1652	97	118773	261007	0.967918	0.058717	2138740	1921662
ERR9839012	1622	1206	416	61	40964	554192	2.899039	0.146635	2068532	1610022
SRR11904209	3107	1976	1131	102	123375	304452	1.747126	0.090186	2135084	1898513
GCGS0439	356	293	63	17	22071	361509	4.650794	0.269841	2121464	1798120
ERR449491	1883	1026	857	62	72190	266087	1.197200	0.072345	2143109	1934361
ERR439307	2953	1401	1552	95	57576	230813	0.902706	0.061211	2091019	1915939
CCC011	2117	1910	207	52	36571	443823	9.227053	0.251208	2095389	1756935
ERR9837244	1728	1277	451	62	56438	482197	2.831486	0.137472	2145821	1751461
25818_2_13	851	759	92	36	23383	483791	8.250000	0.391304	2130384	1752269
GCGS0465	1936	1433	503	62	53656	242026	2.848907	0.123260	2129249	1988700
ERR9837788	4508	2177	2331	122	97701	149122	0.933934	0.052338	2141570	2056552
ERR1549739	1848	1303	545	67	23037	483582	2.390826	0.122936	2083667	1681774
ERR7976204	2328	1826	502	75	58904	455548	3.637450	0.149402	2099545	1753692
HHH044	1052	844	208	38	33468	497785	4.057693	0.182692	2095702	1688363
ERR3325248	2151	1473	678	59	44640	295943	2.172566	0.087021	2151596	1927446
DRR248401	2717	1760	957	91	61551	269772	1.839080	0.095089	2122297	1944761
ERR3578067	1689	1344	345	55	29242	513278	3.895652	0.159420	2145509	1710891
ERR363643	1641	1103	538	60	51032	310257	2.050186	0.111524	2138493	1907989
ERR3623126	169	135	34	9	2243	349614	3.970588	0.264706	2157058	1823942
GCGS0248	1624	1002	622	52	32930	218799	1.610932	0.083601	2116299	1986112
ERR388419	2707	1597	1110	84	88755	247232	1.438739	0.075676	2132110	1961440
SRR8079765	2268	1895	373	71	54348	427998	5.080429	0.190349	2146296	1822404
ERR439344	3294	1576	1718	96	49582	218825	0.917346	0.055879	2084887	1924028
ERR3851539	1127	979	148	39	56425	472499	6.614865	0.263514	2120276	1779314
ERR502227	1629	1069	560	53	47508	332805	1.908929	0.094643	2099215	1859843
SRR25580208	1428	1205	223	50	24162	405310	5.403587	0.224215	2164446	1849780
ERR439335	1206	957	249	36	4137	478211	3.843374	0.144578	2124514	1767185
ERR485166	2594	1639	955	80	80517	289082	1.716230	0.083770	2139168	1918375
ERR3623134	1614	1545	69	33	31882	487526	22.391304	0.478261	2082698	1692970
SRR3360982	1598	1269	329	58	80691	353205	3.857143	0.176292	2138942	1927605
POA37	1926	1367	559	61	23103	370161	2.445438	0.109123	2129493	1856860
SRR25580203	2742	2131	611	80	58400	546530	3.487725	0.130933	2160701	1690542
ERR7986565	2522	1343	1179	97	92403	206588	1.139101	0.082273	2086535	1948188
ERR502180	1333	1066	267	59	25496	417232	3.992509	0.220974	2081023	1780445
SRR13300795	783	581	202	42	31294	468005	2.876238	0.207921	2062036	1686406
AUNG1939	1485	910	575	56	29626	380366	1.582609	0.097391	2143836	1823246
ERR449565	2493	1374	1119	91	43694	277600	1.227882	0.081323	2118089	1900284
ERR2799252	1757	1166	591	59	21572	362460	1.972927	0.099831	2084256	1791681
