,id_A,id_B,strain_A,strain_B,opa_gene_num_A,opa_gene_num_B,distance
48,10239_opa_3,10239_opa_7,10239,10239,3,7,0.2177650429799427
49,10239_opa_3,10239_opa_8,10239,10239,3,8,0.21203438395415475
50,10239_opa_3,10239_opa_9,10239,10239,3,9,0.20057306590257884
51,10239_opa_3,10239_opa_10,10239,10239,3,10,0.22636103151862463
52,10239_opa_3,10239_opa_11,10239,10239,3,11,0.22636103151862463
53,10239_opa_4,10239_opa_5,10239,10239,4,5,0.20916905444126077
54,10239_opa_4,10239_opa_6,10239,10239,4,6,0.2320916905444126
55,10239_opa_4,10239_opa_7,10239,10239,4,7,0.166189111747851
56,10239_opa_4,10239_opa_8,10239,10239,4,8,0.2550143266475645
57,10239_opa_4,10239_opa_9,10239,10239,4,9,0.2435530085959885
58,10239_opa_4,10239_opa_10,10239,10239,4,10,0.21203438395415475
59,10239_opa_4,10239_opa_11,10239,10239,4,11,0.21203438395415475
60,10239_opa_5,10239_opa_6,10239,10239,5,6,0.13753581661891112
61,10239_opa_5,10239_opa_7,10239,10239,5,7,0.19770773638968486
62,10239_opa_5,10239_opa_8,10239,10239,5,8,0.20916905444126077
63,10239_opa_5,10239_opa_9,10239,10239,5,9,0.18911174785100282
64,10239_opa_5,10239_opa_10,10239,10239,5,10,0.22063037249283668
65,10239_opa_5,10239_opa_11,10239,10239,5,11,0.22063037249283668
66,10239_opa_6,10239_opa_7,10239,10239,6,7,0.2177650429799427
67,10239_opa_6,10239_opa_8,10239,10239,6,8,0.22636103151862463
68,10239_opa_6,10239_opa_9,10239,10239,6,9,0.18338108882521487
69,10239_opa_6,10239_opa_10,10239,10239,6,10,0.2693409742120344
70,10239_opa_6,10239_opa_11,10239,10239,6,11,0.2693409742120344
71,10239_opa_7,10239_opa_8,10239,10239,7,8,0.2320916905444126
72,10239_opa_7,10239_opa_9,10239,10239,7,9,0.22349570200573066
73,10239_opa_7,10239_opa_10,10239,10239,7,10,0.20343839541547282
74,10239_opa_7,10239_opa_11,10239,10239,7,11,0.20343839541547282
75,10239_opa_8,10239_opa_9,10239,10239,8,9,0.14613180515759316
76,10239_opa_8,10239_opa_10,10239,10239,8,10,0.23782234957020054
77,10239_opa_8,10239_opa_11,10239,10239,8,11,0.23782234957020054
78,10239_opa_9,10239_opa_10,10239,10239,9,10,0.2320916905444126
79,10239_opa_9,10239_opa_11,10239,10239,9,11,0.2320916905444126
80,10239_opa_10,10239_opa_11,10239,10239,10,11,0.0
81,10268_opa_1,10268_opa_2,10268,10268,1,2,0.03724928366762181
82,10268_opa_1,10268_opa_3,10268,10268,1,3,0.18338108882521487
83,10268_opa_1,10268_opa_4,10268,10268,1,4,0.22349570200573066
84,10268_opa_1,10268_opa_5,10268,10268,1,5,0.14899713467048714
85,10268_opa_1,10268_opa_6,10268,10268,1,6,0.2320916905444126
86,10268_opa_1,10268_opa_7,10268,10268,1,7,0.22636103151862463
87,10268_opa_1,10268_opa_8,10268,10268,1,8,0.20916905444126077
88,10268_opa_1,10268_opa_9,10268,10268,1,9,0.22349570200573066
89,10268_opa_2,10268_opa_3,10268,10268,2,3,0.21489971346704873
90,10268_opa_2,10268_opa_4,10268,10268,2,4,0.24068767908309452
91,10268_opa_2,10268_opa_5,10268,10268,2,5,0.16332378223495703
92,10268_opa_2,10268_opa_6,10268,10268,2,6,0.2435530085959885
93,10268_opa_2,10268_opa_7,10268,10268,2,7,0.2435530085959885
94,10268_opa_2,10268_opa_8,10268,10268,2,8,0.24641833810888247
95,10268_opa_2,10268_opa_9,10268,10268,2,9,0.24068767908309452
96,10268_opa_3,10268_opa_4,10268,10268,3,4,0.22063037249283668
97,10268_opa_3,10268_opa_5,10268,10268,3,5,0.20916905444126077
98,10268_opa_3,10268_opa_6,10268,10268,3,6,0.16332378223495703
99,10268_opa_3,10268_opa_7,10268,10268,3,7,0.2063037249283668
100,10268_opa_3,10268_opa_8,10268,10268,3,8,0.1547277936962751
101,10268_opa_3,10268_opa_9,10268,10268,3,9,0.22063037249283668
102,10268_opa_4,10268_opa_5,10268,10268,4,5,0.21489971346704873
103,10268_opa_4,10268_opa_6,10268,10268,4,6,0.2063037249283668
104,10268_opa_4,10268_opa_7,10268,10268,4,7,0.017191977077363862
105,10268_opa_4,10268_opa_8,10268,10268,4,8,0.20057306590257884
106,10268_opa_4,10268_opa_9,10268,10268,4,9,0.005730659025787954
107,10268_opa_5,10268_opa_6,10268,10268,5,6,0.21489971346704873
108,10268_opa_5,10268_opa_7,10268,10268,5,7,0.22636103151862463
109,10268_opa_5,10268_opa_8,10268,10268,5,8,0.21489971346704873
110,10268_opa_5,10268_opa_9,10268,10268,5,9,0.21489971346704873
111,10268_opa_6,10268_opa_7,10268,10268,6,7,0.1919770773638968
112,10268_opa_6,10268_opa_8,10268,10268,6,8,0.022922636103151817
113,10268_opa_6,10268_opa_9,10268,10268,6,9,0.2063037249283668
114,10268_opa_7,10268_opa_8,10268,10268,7,8,0.18624641833810884
115,10268_opa_7,10268_opa_9,10268,10268,7,9,0.022922636103151817
116,10268_opa_8,10268_opa_9,10268,10268,8,9,0.20057306590257884
117,10272_opa_2,10272_opa_3,10272,10272,2,3,0.2320916905444126
118,10272_opa_2,10272_opa_4,10272,10272,2,4,0.2435530085959885
119,10272_opa_2,10272_opa_5,10272,10272,2,5,0.16332378223495703
120,10272_opa_2,10272_opa_6,10272,10272,2,6,0.2435530085959885
121,10272_opa_2,10272_opa_8,10272,10272,2,8,0.24068767908309452
122,10272_opa_2,10272_opa_9,10272,10272,2,9,0.24068767908309452
123,10272_opa_3,10272_opa_4,10272,10272,3,4,0.18624641833810884
124,10272_opa_3,10272_opa_5,10272,10272,3,5,0.19484240687679089
125,10272_opa_3,10272_opa_6,10272,10272,3,6,0.1919770773638968
126,10272_opa_3,10272_opa_8,10272,10272,3,8,0.11174785100286533
127,10272_opa_3,10272_opa_9,10272,10272,3,9,0.18338108882521487
128,10272_opa_4,10272_opa_5,10272,10272,4,5,0.2177650429799427
129,10272_opa_4,10272_opa_6,10272,10272,4,6,0.017191977077363862
130,10272_opa_4,10272_opa_8,10272,10272,4,8,0.18911174785100282
131,10272_opa_4,10272_opa_9,10272,10272,4,9,0.008595988538681931
132,10272_opa_5,10272_opa_6,10272,10272,5,6,0.21489971346704873
133,10272_opa_5,10272_opa_8,10272,10272,5,8,0.20057306590257884
134,10272_opa_5,10272_opa_9,10272,10272,5,9,0.21489971346704873
135,10272_opa_6,10272_opa_8,10272,10272,6,8,0.1776504297994269
136,10272_opa_6,10272_opa_9,10272,10272,6,9,0.008595988538681931
137,10272_opa_8,10272_opa_9,10272,10272,8,9,0.18624641833810884
138,10296_opa_1,10296_opa_2,10296,10296,1,2,0.12034383954154726
139,10296_opa_1,10296_opa_3,10296,10296,1,3,0.2063037249283668
140,10296_opa_1,10296_opa_4,10296,10296,1,4,0.03724928366762181
141,10296_opa_1,10296_opa_5,10296,10296,1,5,0.18624641833810884
142,10296_opa_1,10296_opa_6,10296,10296,1,6,0.1919770773638968
143,10296_opa_1,10296_opa_7,10296,10296,1,7,0.2664756446991404
144,10296_opa_1,10296_opa_8,10296,10296,1,8,0.166189111747851
145,10296_opa_1,10296_opa_9,10296,10296,1,9,0.11174785100286533
146,10296_opa_1,10296_opa_10,10296,10296,1,10,0.04871060171919772
147,10296_opa_1,10296_opa_11,10296,10296,1,11,0.18338108882521487
148,10296_opa_2,10296_opa_3,10296,10296,2,3,0.21203438395415475
149,10296_opa_2,10296_opa_4,10296,10296,2,4,0.1432664756446992
150,10296_opa_2,10296_opa_5,10296,10296,2,5,0.20343839541547282
151,10296_opa_2,10296_opa_6,10296,10296,2,6,0.21203438395415475
152,10296_opa_2,10296_opa_7,10296,10296,2,7,0.2693409742120344
153,10296_opa_2,10296_opa_8,10296,10296,2,8,0.18338108882521487
154,10296_opa_2,10296_opa_9,10296,10296,2,9,0.06017191977077363
155,10296_opa_2,10296_opa_10,10296,10296,2,10,0.11747851002865328
156,10296_opa_2,10296_opa_11,10296,10296,2,11,0.21489971346704873
157,10296_opa_3,10296_opa_4,10296,10296,3,4,0.22636103151862463
158,10296_opa_3,10296_opa_5,10296,10296,3,5,0.1260744985673352
159,10296_opa_3,10296_opa_6,10296,10296,3,6,0.16045845272206305
160,10296_opa_3,10296_opa_7,10296,10296,3,7,0.25214899713467054
161,10296_opa_3,10296_opa_8,10296,10296,3,8,0.166189111747851
162,10296_opa_3,10296_opa_9,10296,10296,3,9,0.20343839541547282
163,10296_opa_3,10296_opa_10,10296,10296,3,10,0.20057306590257884
164,10296_opa_3,10296_opa_11,10296,10296,3,11,0.07449856733524352
165,10296_opa_4,10296_opa_5,10296,10296,4,5,0.22349570200573066
166,10296_opa_4,10296_opa_6,10296,10296,4,6,0.2292263610315186
167,10296_opa_4,10296_opa_7,10296,10296,4,7,0.2292263610315186
168,10296_opa_4,10296_opa_8,10296,10296,4,8,0.20343839541547282
169,10296_opa_4,10296_opa_9,10296,10296,4,9,0.13467048710601714
170,10296_opa_4,10296_opa_10,10296,10296,4,10,0.08595988538681953
171,10296_opa_4,10296_opa_11,10296,10296,4,11,0.22063037249283668
172,10296_opa_5,10296_opa_6,10296,10296,5,6,0.07736389684813749
173,10296_opa_5,10296_opa_7,10296,10296,5,7,0.27793696275071633
174,10296_opa_5,10296_opa_8,10296,10296,5,8,0.07449856733524352
175,10296_opa_5,10296_opa_9,10296,10296,5,9,0.1919770773638968
176,10296_opa_5,10296_opa_10,10296,10296,5,10,0.18338108882521487
177,10296_opa_5,10296_opa_11,10296,10296,5,11,0.10601719197707737
178,10296_opa_6,10296_opa_7,10296,10296,6,7,0.2693409742120344
179,10296_opa_6,10296_opa_8,10296,10296,6,8,0.06590257879656158
180,10296_opa_6,10296_opa_9,10296,10296,6,9,0.20343839541547282
181,10296_opa_6,10296_opa_10,10296,10296,6,10,0.18911174785100282
182,10296_opa_6,10296_opa_11,10296,10296,6,11,0.15759312320916907
183,10296_opa_7,10296_opa_8,10296,10296,7,8,0.2435530085959885
184,10296_opa_7,10296_opa_9,10296,10296,7,9,0.25214899713467054
185,10296_opa_7,10296_opa_10,10296,10296,7,10,0.2836676217765043
186,10296_opa_7,10296_opa_11,10296,10296,7,11,0.2578796561604585
187,10296_opa_8,10296_opa_9,10296,10296,8,9,0.16045845272206305
188,10296_opa_8,10296_opa_10,10296,10296,8,10,0.17478510028653294
189,10296_opa_8,10296_opa_11,10296,10296,8,11,0.1404011461318052
190,10296_opa_9,10296_opa_10,10296,10296,9,10,0.12034383954154726
191,10296_opa_9,10296_opa_11,10296,10296,9,11,0.18911174785100282
192,10296_opa_10,10296_opa_11,10296,10296,10,11,0.18624641833810884
193,10328_opa_1,10328_opa_2,10328,10328,1,2,0.1919770773638968
194,10328_opa_1,10328_opa_3,10328,10328,1,3,0.10601719197707737
195,10328_opa_1,10328_opa_5,10328,10328,1,5,0.19770773638968486
196,10328_opa_1,10328_opa_6,10328,10328,1,6,0.02005730659025784
197,10328_opa_1,10328_opa_7,10328,10328,1,7,0.19484240687679089
198,10328_opa_1,10328_opa_8,10328,10328,1,8,0.02005730659025784
199,10328_opa_1,10328_opa_9,10328,10328,1,9,0.1919770773638968
200,10328_opa_2,10328_opa_3,10328,10328,2,3,0.22063037249283668
201,10328_opa_2,10328_opa_5,10328,10328,2,5,0.21489971346704873
202,10328_opa_2,10328_opa_6,10328,10328,2,6,0.20343839541547282
203,10328_opa_2,10328_opa_7,10328,10328,2,7,0.21203438395415475
204,10328_opa_2,10328_opa_8,10328,10328,2,8,0.20343839541547282
205,10328_opa_2,10328_opa_9,10328,10328,2,9,0.0
206,10328_opa_3,10328_opa_5,10328,10328,3,5,0.20916905444126077
207,10328_opa_3,10328_opa_6,10328,10328,3,6,0.10888252148997135
208,10328_opa_3,10328_opa_7,10328,10328,3,7,0.2063037249283668
209,10328_opa_3,10328_opa_8,10328,10328,3,8,0.10888252148997135
210,10328_opa_3,10328_opa_9,10328,10328,3,9,0.22063037249283668
211,10328_opa_5,10328_opa_6,10328,10328,5,6,0.20916905444126077
212,10328_opa_5,10328_opa_7,10328,10328,5,7,0.002865329512893977
213,10328_opa_5,10328_opa_8,10328,10328,5,8,0.20916905444126077
214,10328_opa_5,10328_opa_9,10328,10328,5,9,0.21489971346704873
215,10328_opa_6,10328_opa_7,10328,10328,6,7,0.2063037249283668
216,10328_opa_6,10328_opa_8,10328,10328,6,8,0.0
217,10328_opa_6,10328_opa_9,10328,10328,6,9,0.20343839541547282
218,10328_opa_7,10328_opa_8,10328,10328,7,8,0.2063037249283668
219,10328_opa_7,10328_opa_9,10328,10328,7,9,0.21203438395415475
220,10328_opa_8,10328_opa_9,10328,10328,8,9,0.20343839541547282
221,10500_opa_1,10500_opa_2,10500,10500,1,2,0.09169054441260749
222,10500_opa_1,10500_opa_3,10500,10500,1,3,0.18338108882521487
223,10500_opa_1,10500_opa_4,10500,10500,1,4,0.20916905444126077
224,10500_opa_1,10500_opa_5,10500,10500,1,5,0.1289398280802292
225,10500_opa_1,10500_opa_6,10500,10500,1,6,0.06590257879656158
226,10500_opa_1,10500_opa_7,10500,10500,1,7,0.06017191977077363
227,10500_opa_1,10500_opa_8,10500,10500,1,8,0.22063037249283668
228,10500_opa_1,10500_opa_9,10500,10500,1,9,0.21489971346704873
229,10500_opa_1,10500_opa_10,10500,10500,1,10,0.1260744985673352
230,10500_opa_2,10500_opa_3,10500,10500,2,3,0.19484240687679089
231,10500_opa_2,10500_opa_4,10500,10500,2,4,0.24068767908309452
232,10500_opa_2,10500_opa_5,10500,10500,2,5,0.1547277936962751
233,10500_opa_2,10500_opa_6,10500,10500,2,6,0.1432664756446992
234,10500_opa_2,10500_opa_7,10500,10500,2,7,0.03724928366762181
235,10500_opa_2,10500_opa_8,10500,10500,2,8,0.23782234957020054
236,10500_opa_2,10500_opa_9,10500,10500,2,9,0.23495702005730656
237,10500_opa_2,10500_opa_10,10500,10500,2,10,0.08309455587392545
238,10500_opa_3,10500_opa_4,10500,10500,3,4,0.2177650429799427
239,10500_opa_3,10500_opa_5,10500,10500,3,5,0.16045845272206305
240,10500_opa_3,10500_opa_6,10500,10500,3,6,0.17191977077363896
241,10500_opa_3,10500_opa_7,10500,10500,3,7,0.18624641833810884
242,10500_opa_3,10500_opa_8,10500,10500,3,8,0.14899713467048714
243,10500_opa_3,10500_opa_9,10500,10500,3,9,0.2063037249283668
244,10500_opa_3,10500_opa_10,10500,10500,3,10,0.17191977077363896
245,10500_opa_4,10500_opa_5,10500,10500,4,5,0.22636103151862463
246,10500_opa_4,10500_opa_6,10500,10500,4,6,0.23495702005730656
247,10500_opa_4,10500_opa_7,10500,10500,4,7,0.2063037249283668
248,10500_opa_4,10500_opa_8,10500,10500,4,8,0.20057306590257884
249,10500_opa_4,10500_opa_9,10500,10500,4,9,0.014326647564469885
250,10500_opa_4,10500_opa_10,10500,10500,4,10,0.23495702005730656
251,10500_opa_5,10500_opa_6,10500,10500,5,6,0.08022922636103147
252,10500_opa_5,10500_opa_7,10500,10500,5,7,0.13753581661891112
253,10500_opa_5,10500_opa_8,10500,10500,5,8,0.20057306590257884
254,10500_opa_5,10500_opa_9,10500,10500,5,9,0.21489971346704873
255,10500_opa_5,10500_opa_10,10500,10500,5,10,0.08595988538681953
256,10500_opa_6,10500_opa_7,10500,10500,6,7,0.1260744985673352
257,10500_opa_6,10500_opa_8,10500,10500,6,8,0.21203438395415475
258,10500_opa_6,10500_opa_9,10500,10500,6,9,0.22636103151862463
259,10500_opa_6,10500_opa_10,10500,10500,6,10,0.07163323782234954
260,10500_opa_7,10500_opa_8,10500,10500,7,8,0.22349570200573066
261,10500_opa_7,10500_opa_9,10500,10500,7,9,0.21203438395415475
262,10500_opa_7,10500_opa_10,10500,10500,7,10,0.06590257879656158
263,10500_opa_8,10500_opa_9,10500,10500,8,9,0.18911174785100282
264,10500_opa_8,10500_opa_10,10500,10500,8,10,0.21489971346704873
265,10500_opa_9,10500_opa_10,10500,10500,9,10,0.22349570200573066
266,10524_opa_1,10524_opa_2,10524,10524,1,2,0.2063037249283668
267,10524_opa_1,10524_opa_3,10524,10524,1,3,0.1547277936962751
268,10524_opa_1,10524_opa_4,10524,10524,1,4,0.2435530085959885
269,10524_opa_1,10524_opa_5,10524,10524,1,5,0.19770773638968486
270,10524_opa_1,10524_opa_6,10524,10524,1,6,0.025787965616045794
271,10524_opa_1,10524_opa_7,10524,10524,1,7,0.1805157593123209
272,10524_opa_1,10524_opa_8,10524,10524,1,8,0.017191977077363862
273,10524_opa_1,10524_opa_9,10524,10524,1,9,0.2063037249283668
274,10524_opa_2,10524_opa_3,10524,10524,2,3,0.23495702005730656
275,10524_opa_2,10524_opa_4,10524,10524,2,4,0.21203438395415475
276,10524_opa_2,10524_opa_5,10524,10524,2,5,0.2435530085959885
277,10524_opa_2,10524_opa_6,10524,10524,2,6,0.20057306590257884
278,10524_opa_2,10524_opa_7,10524,10524,2,7,0.028653295128939882
279,10524_opa_2,10524_opa_8,10524,10524,2,8,0.2063037249283668
280,10524_opa_2,10524_opa_9,10524,10524,2,9,0.002865329512893977
281,10524_opa_3,10524_opa_4,10524,10524,3,4,0.20343839541547282
282,10524_opa_3,10524_opa_5,10524,10524,3,5,0.166189111747851
283,10524_opa_3,10524_opa_6,10524,10524,3,6,0.15759312320916907
284,10524_opa_3,10524_opa_7,10524,10524,3,7,0.21489971346704873
285,10524_opa_3,10524_opa_8,10524,10524,3,8,0.15186246418338112
286,10524_opa_3,10524_opa_9,10524,10524,3,9,0.23495702005730656
287,10524_opa_4,10524_opa_5,10524,10524,4,5,0.16332378223495703
288,10524_opa_4,10524_opa_6,10524,10524,4,6,0.23495702005730656
289,10524_opa_4,10524_opa_7,10524,10524,4,7,0.23782234957020054
290,10524_opa_4,10524_opa_8,10524,10524,4,8,0.24068767908309452
291,10524_opa_4,10524_opa_9,10524,10524,4,9,0.21203438395415475
292,10524_opa_5,10524_opa_6,10524,10524,5,6,0.2063037249283668
293,10524_opa_5,10524_opa_7,10524,10524,5,7,0.22063037249283668
294,10524_opa_5,10524_opa_8,10524,10524,5,8,0.19770773638968486
295,10524_opa_5,10524_opa_9,10524,10524,5,9,0.2435530085959885
296,10524_opa_6,10524_opa_7,10524,10524,6,7,0.1776504297994269
297,10524_opa_6,10524_opa_8,10524,10524,6,8,0.008595988538681931
298,10524_opa_6,10524_opa_9,10524,10524,6,9,0.20057306590257884
299,10524_opa_7,10524_opa_8,10524,10524,7,8,0.18624641833810884
300,10524_opa_7,10524_opa_9,10524,10524,7,9,0.03151862464183386
301,10524_opa_8,10524_opa_9,10524,10524,8,9,0.2063037249283668
302,10529_opa_1,10529_opa_2,10529,10529,1,2,0.21203438395415475
303,10529_opa_1,10529_opa_4,10529,10529,1,4,0.0515759312320917
304,10529_opa_1,10529_opa_5,10529,10529,1,5,0.15186246418338112
305,10529_opa_1,10529_opa_6,10529,10529,1,6,0.2063037249283668
306,10529_opa_1,10529_opa_7,10529,10529,1,7,0.19484240687679089
307,10529_opa_1,10529_opa_8,10529,10529,1,8,0.21489971346704873
308,10529_opa_1,10529_opa_10,10529,10529,1,10,0.2320916905444126
309,10529_opa_2,10529_opa_4,10529,10529,2,4,0.24068767908309452
310,10529_opa_2,10529_opa_5,10529,10529,2,5,0.21489971346704873
311,10529_opa_2,10529_opa_6,10529,10529,2,6,0.19770773638968486
312,10529_opa_2,10529_opa_7,10529,10529,2,7,0.2063037249283668
313,10529_opa_2,10529_opa_8,10529,10529,2,8,0.2063037249283668
314,10529_opa_2,10529_opa_10,10529,10529,2,10,0.02005730659025784
315,10529_opa_4,10529_opa_5,10529,10529,4,5,0.16332378223495703
316,10529_opa_4,10529_opa_6,10529,10529,4,6,0.23495702005730656
317,10529_opa_4,10529_opa_7,10529,10529,4,7,0.2320916905444126
318,10529_opa_4,10529_opa_8,10529,10529,4,8,0.2435530085959885
319,10529_opa_4,10529_opa_10,10529,10529,4,10,0.25214899713467054
320,10529_opa_5,10529_opa_6,10529,10529,5,6,0.2063037249283668
321,10529_opa_5,10529_opa_7,10529,10529,5,7,0.19770773638968486
322,10529_opa_5,10529_opa_8,10529,10529,5,8,0.21489971346704873
323,10529_opa_5,10529_opa_10,10529,10529,5,10,0.23495702005730656
324,10529_opa_6,10529_opa_7,10529,10529,6,7,0.10601719197707737
325,10529_opa_6,10529_opa_8,10529,10529,6,8,0.008595988538681931
326,10529_opa_6,10529_opa_10,10529,10529,6,10,0.2063037249283668
327,10529_opa_7,10529_opa_8,10529,10529,7,8,0.1146131805157593
328,10529_opa_7,10529_opa_10,10529,10529,7,10,0.19770773638968486
329,10529_opa_8,10529_opa_10,10529,10529,8,10,0.21489971346704873
330,10531_opa_1,10531_opa_2,10531,10531,1,2,0.03151862464183386
331,10531_opa_1,10531_opa_3,10531,10531,1,3,0.1776504297994269
332,10531_opa_1,10531_opa_4,10531,10531,1,4,0.2435530085959885
333,10531_opa_1,10531_opa_5,10531,10531,1,5,0.13180515759312317
334,10531_opa_1,10531_opa_6,10531,10531,1,6,0.2177650429799427
335,10531_opa_1,10531_opa_7,10531,10531,1,7,0.21489971346704873
336,10531_opa_1,10531_opa_8,10531,10531,1,8,0.2177650429799427
337,10531_opa_1,10531_opa_9,10531,10531,1,9,0.24068767908309452
338,10531_opa_1,10531_opa_10,10531,10531,1,10,0.20916905444126077
339,10531_opa_2,10531_opa_3,10531,10531,2,3,0.20343839541547282
340,10531_opa_2,10531_opa_4,10531,10531,2,4,0.21203438395415475
341,10531_opa_2,10531_opa_5,10531,10531,2,5,0.16332378223495703
342,10531_opa_2,10531_opa_6,10531,10531,2,6,0.23495702005730656
343,10531_opa_2,10531_opa_7,10531,10531,2,7,0.24641833810888247
344,10531_opa_2,10531_opa_8,10531,10531,2,8,0.23495702005730656
345,10531_opa_2,10531_opa_9,10531,10531,2,9,0.20916905444126077
346,10531_opa_2,10531_opa_10,10531,10531,2,10,0.24068767908309452
347,10531_opa_3,10531_opa_4,10531,10531,3,4,0.23495702005730656
348,10531_opa_3,10531_opa_5,10531,10531,3,5,0.166189111747851
349,10531_opa_3,10531_opa_6,10531,10531,3,6,0.15759312320916907
350,10531_opa_3,10531_opa_7,10531,10531,3,7,0.2063037249283668
351,10531_opa_3,10531_opa_8,10531,10531,3,8,0.15759312320916907
352,10531_opa_3,10531_opa_9,10531,10531,3,9,0.1776504297994269
353,10531_opa_3,10531_opa_10,10531,10531,3,10,0.15186246418338112
354,10531_opa_4,10531_opa_5,10531,10531,4,5,0.2435530085959885
355,10531_opa_4,10531_opa_6,10531,10531,4,6,0.20057306590257884
356,10531_opa_4,10531_opa_7,10531,10531,4,7,0.05730659025787965
357,10531_opa_4,10531_opa_8,10531,10531,4,8,0.20057306590257884
358,10531_opa_4,10531_opa_9,10531,10531,4,9,0.17478510028653294
359,10531_opa_4,10531_opa_10,10531,10531,4,10,0.2063037249283668
360,10531_opa_5,10531_opa_6,10531,10531,5,6,0.2063037249283668
361,10531_opa_5,10531_opa_7,10531,10531,5,7,0.21489971346704873
362,10531_opa_5,10531_opa_8,10531,10531,5,8,0.20057306590257884
363,10531_opa_5,10531_opa_9,10531,10531,5,9,0.2292263610315186
364,10531_opa_5,10531_opa_10,10531,10531,5,10,0.19770773638968486
365,10531_opa_6,10531_opa_7,10531,10531,6,7,0.17191977077363896
366,10531_opa_6,10531_opa_8,10531,10531,6,8,0.022922636103151817
367,10531_opa_6,10531_opa_9,10531,10531,6,9,0.025787965616045794
368,10531_opa_6,10531_opa_10,10531,10531,6,10,0.008595988538681931
369,10531_opa_7,10531_opa_8,10531,10531,7,8,0.1805157593123209
370,10531_opa_7,10531_opa_9,10531,10531,7,9,0.19484240687679089
371,10531_opa_7,10531_opa_10,10531,10531,7,10,0.16332378223495703
372,10531_opa_8,10531_opa_9,10531,10531,8,9,0.04871060171919772
373,10531_opa_8,10531_opa_10,10531,10531,8,10,0.03151862464183386
374,10531_opa_9,10531_opa_10,10531,10531,9,10,0.03151862464183386
375,10536_opa_1,10536_opa_2,10536,10536,1,2,0.22349570200573066
