,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,id,n_terminus,in_frame,strain,species,query_accession,percent_identity,alignment_length,mismatches,gaps,query_start,query_end,subject_start,subject_end,evalue,bit_score,approx_start,approx_stop
14,NZ_CP030826.1,-1,572413.0,572443.0,571681.0,571699.0,571682.0,572467.0,11-251_opa_1,572399.0,0.0,11-251,Neisseria meningitidis,FA1090_opa_1/122-263,95.035,141.0,7.0,0.0,2.0,142.0,572292.0,572152.0,4.7000000000000004e-57,222.0,572452.0,571698.0
15,NZ_CP030826.1,1,1438908.0,1438943.0,1439666.0,1439684.0,1438884.0,1439683.0,11-251_opa_4,1438957.0,0.0,11-251,Neisseria meningitidis,FA1090_opa_1/122-263,95.07,142.0,7.0,0.0,1.0,142.0,1439070.0,1439211.0,1.31e-57,224.0,1438910.0,1439665.0
16,NZ_CP030826.1,1,1266657.0,1266707.0,1267415.0,1267433.0,1266632.0,1267432.0,11-251_opa_3,1266721.0,0.0,11-251,Neisseria meningitidis,,,,,,,,,,,,,
17,NZ_CP030826.1,-1,1094311.0,1094386.0,1093588.0,1093606.0,1093589.0,1094411.0,11-251_opa_2,1094297.0,1.0,11-251,Neisseria meningitidis,,,,,,,,,,,,,
18,NZ_CP021520.1,-1,549349.0,549419.0,548626.0,548644.0,548627.0,549444.0,11-7_opa_1,549335.0,0.0,11-7,Neisseria meningitidis,FA1090_opa_1/122-263,92.806,139.0,10.0,0.0,1.0,139.0,549229.0,549091.0,6.13e-51,202.0,549389.0,548637.0
19,NZ_CP021520.1,-1,1075164.0,1075214.0,1074423.0,1074441.0,1074424.0,1075239.0,11-7_opa_2,1075150.0,0.0,11-7,Neisseria meningitidis,FA1090_opa_1/122-263,95.07,142.0,7.0,0.0,1.0,142.0,1075038.0,1074897.0,1.31e-57,224.0,1075198.0,1074443.0
20,NZ_CP021520.1,1,1246784.0,1246829.0,1247555.0,1247573.0,1246759.0,1247572.0,11-7_opa_3,1246843.0,1.0,11-7,Neisseria meningitidis,FA1090_opa_1/122-263,95.07,142.0,7.0,0.0,1.0,142.0,1246956.0,1247097.0,1.31e-57,224.0,1246796.0,1247551.0
21,NZ_CP021520.1,1,1417604.0,1417629.0,1418340.0,1418358.0,1417579.0,1418357.0,11-7_opa_4,1417643.0,0.0,11-7,Neisseria meningitidis,,,,,,,,,,,,,
22,NZ_CP021518.1,-1,549162.0,549202.0,548439.0,548457.0,548440.0,549227.0,12-176_opa_1,549148.0,0.0,12-176,Neisseria meningitidis,FA1090_opa_1/122-263,92.806,139.0,10.0,0.0,1.0,139.0,549042.0,548904.0,6.13e-51,202.0,549202.0,548450.0
23,NZ_CP021518.1,-1,1077201.0,1077271.0,1076469.0,1076487.0,1076470.0,1077296.0,12-176_opa_2,1077187.0,0.0,12-176,Neisseria meningitidis,FA1090_opa_1/122-263,95.07,142.0,7.0,0.0,1.0,142.0,1077075.0,1076934.0,1.31e-57,224.0,1077235.0,1076480.0
24,NZ_CP021518.1,1,1248370.0,1248430.0,1249156.0,1249174.0,1248345.0,1249173.0,12-176_opa_3,1248444.0,1.0,12-176,Neisseria meningitidis,FA1090_opa_1/122-263,95.07,142.0,7.0,0.0,1.0,142.0,1248557.0,1248698.0,1.31e-57,224.0,1248397.0,1249152.0
25,NZ_CP021518.1,1,1418476.0,1418526.0,1419237.0,1419255.0,1418451.0,1419254.0,12-176_opa_4,1418540.0,0.0,12-176,Neisseria meningitidis,,,,,,,,,,,,,
26,NZ_CP030825.1,-1,569822.0,569882.0,569090.0,569108.0,569091.0,569906.0,12-208_opa_1,569808.0,0.0,12-208,Neisseria meningitidis,FA1090_opa_1/122-263,95.035,141.0,7.0,0.0,2.0,142.0,569701.0,569561.0,4.7000000000000004e-57,222.0,569861.0,569107.0
27,NZ_CP030825.1,1,1430352.0,1430397.0,1431117.0,1431135.0,1430328.0,1431134.0,12-208_opa_4,1430411.0,0.0,12-208,Neisseria meningitidis,FA1090_opa_1/122-263,95.035,141.0,7.0,0.0,2.0,142.0,1430519.0,1430659.0,4.7000000000000004e-57,222.0,1430359.0,1431113.0
28,NZ_CP030825.1,1,1256568.0,1256648.0,1257356.0,1257374.0,1256543.0,1257373.0,12-208_opa_3,1256662.0,0.0,12-208,Neisseria meningitidis,,,,,,,,,,,,,
29,NZ_CP030825.1,-1,1085057.0,1085102.0,1084331.0,1084349.0,1084332.0,1085127.0,12-208_opa_2,1085043.0,1.0,12-208,Neisseria meningitidis,,,,,,,,,,,,,
30,NZ_CP021517.1,-1,547667.0,547707.0,546944.0,546962.0,546945.0,547732.0,12-221_opa_1,547653.0,0.0,12-221,Neisseria meningitidis,FA1090_opa_1/122-263,92.806,139.0,10.0,0.0,1.0,139.0,547547.0,547409.0,6.13e-51,202.0,547707.0,546955.0
31,NZ_CP021517.1,-1,1075674.0,1075759.0,1074946.0,1074964.0,1074947.0,1075784.0,12-221_opa_2,1075660.0,0.0,12-221,Neisseria meningitidis,FA1090_opa_1/122-263,92.086,139.0,10.0,1.0,1.0,139.0,1075548.0,1075411.0,1.0299999999999999e-48,195.0,1075708.0,1074957.0
32,NZ_CP021517.1,1,1246825.0,1246855.0,1247581.0,1247599.0,1246800.0,1247598.0,12-221_opa_3,1246869.0,1.0,12-221,Neisseria meningitidis,FA1090_opa_1/122-263,95.07,142.0,7.0,0.0,1.0,142.0,1246982.0,1247123.0,1.31e-57,224.0,1246822.0,1247577.0
33,NZ_CP021517.1,1,1416943.0,1416983.0,1417694.0,1417712.0,1416918.0,1417711.0,12-221_opa_4,1416997.0,0.0,12-221,Neisseria meningitidis,,,,,,,,,,,,,
34,NZ_CP021724.1,-1,549117.0,549167.0,548394.0,548412.0,548395.0,549192.0,12-330_opa_1,549103.0,0.0,12-330,Neisseria meningitidis,FA1090_opa_1/122-263,92.806,139.0,10.0,0.0,1.0,139.0,548997.0,548859.0,6.13e-51,202.0,549157.0,548405.0
35,NZ_CP021724.1,-1,1076883.0,1076918.0,1076151.0,1076169.0,1076152.0,1076943.0,12-330_opa_2,1076869.0,0.0,12-330,Neisseria meningitidis,FA1090_opa_1/122-263,95.07,142.0,7.0,0.0,1.0,142.0,1076757.0,1076616.0,1.31e-57,224.0,1076917.0,1076162.0
36,NZ_CP021724.1,1,1247985.0,1248015.0,1248741.0,1248759.0,1247960.0,1248758.0,12-330_opa_3,1248029.0,1.0,12-330,Neisseria meningitidis,FA1090_opa_1/122-263,95.07,142.0,7.0,0.0,1.0,142.0,1248142.0,1248283.0,1.31e-57,224.0,1247982.0,1248737.0
37,NZ_CP021724.1,1,1416810.0,1416870.0,1417581.0,1417599.0,1416785.0,1417598.0,12-330_opa_4,1416884.0,1.0,12-330,Neisseria meningitidis,,,,,,,,,,,,,
38,NZ_CP021723.1,-1,548373.0,548413.0,547650.0,547668.0,547651.0,548438.0,13-600_opa_1,548359.0,0.0,13-600,Neisseria meningitidis,FA1090_opa_1/122-263,92.806,139.0,10.0,0.0,1.0,139.0,548253.0,548115.0,6.13e-51,202.0,548413.0,547661.0
39,NZ_CP021723.1,-1,1076450.0,1076485.0,1075718.0,1075736.0,1075719.0,1076510.0,13-600_opa_2,1076436.0,0.0,13-600,Neisseria meningitidis,FA1090_opa_1/122-263,95.07,142.0,7.0,0.0,1.0,142.0,1076324.0,1076183.0,1.31e-57,224.0,1076484.0,1075729.0
40,NZ_CP021723.1,1,1247560.0,1247610.0,1248336.0,1248354.0,1247535.0,1248353.0,13-600_opa_3,1247624.0,0.0,13-600,Neisseria meningitidis,FA1090_opa_1/122-263,95.07,142.0,7.0,0.0,1.0,142.0,1247737.0,1247878.0,1.31e-57,224.0,1247577.0,1248332.0
41,NZ_CP021723.1,1,1417752.0,1417837.0,1418548.0,1418566.0,1417727.0,1418565.0,13-600_opa_4,1417851.0,0.0,13-600,Neisseria meningitidis,,,,,,,,,,,,,
42,NZ_CP021516.1,-1,548360.0,548395.0,547637.0,547655.0,547638.0,548420.0,14-563_opa_1,548346.0,0.0,14-563,Neisseria meningitidis,FA1090_opa_1/122-263,92.806,139.0,10.0,0.0,1.0,139.0,548240.0,548102.0,6.13e-51,202.0,548400.0,547648.0
43,NZ_CP021516.1,-1,1077247.0,1077282.0,1076515.0,1076533.0,1076516.0,1077307.0,14-563_opa_2,1077233.0,0.0,14-563,Neisseria meningitidis,FA1090_opa_1/122-263,95.07,142.0,7.0,0.0,1.0,142.0,1077121.0,1076980.0,1.31e-57,224.0,1077281.0,1076526.0
44,NZ_CP021516.1,1,1256658.0,1256698.0,1257424.0,1257442.0,1256633.0,1257441.0,14-563_opa_3,1256712.0,0.0,14-563,Neisseria meningitidis,FA1090_opa_1/122-263,95.07,142.0,7.0,0.0,1.0,142.0,1256825.0,1256966.0,1.31e-57,224.0,1256665.0,1257420.0
45,NZ_CP021516.1,1,1426805.0,1426845.0,1427556.0,1427574.0,1426780.0,1427573.0,14-563_opa_4,1426859.0,0.0,14-563,Neisseria meningitidis,,,,,,,,,,,,,
46,NZ_CP030823.1,-1,579317.0,579352.0,578585.0,578603.0,578586.0,579376.0,14-627_opa_1,579303.0,0.0,14-627,Neisseria meningitidis,FA1090_opa_1/122-263,95.035,141.0,7.0,0.0,2.0,142.0,579196.0,579056.0,4.7000000000000004e-57,222.0,579356.0,578602.0
47,NZ_CP030823.1,1,1454348.0,1454383.0,1455097.0,1455115.0,1454324.0,1455114.0,14-627_opa_4,1454397.0,0.0,14-627,Neisseria meningitidis,FA1090_opa_1/122-263,95.07,142.0,7.0,0.0,1.0,142.0,1454510.0,1454651.0,1.31e-57,224.0,1454350.0,1455105.0
48,NZ_CP030823.1,1,1281002.0,1281062.0,1281770.0,1281788.0,1280977.0,1281787.0,14-627_opa_3,1281076.0,1.0,14-627,Neisseria meningitidis,,,,,,,,,,,,,
49,NZ_CP030823.1,-1,1102202.0,1102247.0,1101476.0,1101494.0,1101477.0,1102272.0,14-627_opa_2,1102188.0,1.0,14-627,Neisseria meningitidis,,,,,,,,,,,,,
50,NZ_CP030822.1,-1,571120.0,571165.0,570388.0,570406.0,570389.0,571189.0,15-123_opa_1,571106.0,0.0,15-123,Neisseria meningitidis,FA1090_opa_1/122-263,95.035,141.0,7.0,0.0,2.0,142.0,570999.0,570859.0,4.7000000000000004e-57,222.0,571159.0,570405.0
51,NZ_CP030822.1,1,1430142.0,1430177.0,1430891.0,1430909.0,1430118.0,1430908.0,15-123_opa_4,1430191.0,0.0,15-123,Neisseria meningitidis,FA1090_opa_1/122-263,95.07,142.0,7.0,0.0,1.0,142.0,1430304.0,1430445.0,1.31e-57,224.0,1430144.0,1430899.0
52,NZ_CP030822.1,1,1256768.0,1256858.0,1257566.0,1257584.0,1256743.0,1257583.0,15-123_opa_3,1256872.0,1.0,15-123,Neisseria meningitidis,,,,,,,,,,,,,
53,NZ_CP030822.1,-1,1085989.0,1086059.0,1085263.0,1085281.0,1085264.0,1086084.0,15-123_opa_2,1085975.0,0.0,15-123,Neisseria meningitidis,,,,,,,,,,,,,
54,NZ_CP030820.1,-1,571254.0,571309.0,570522.0,570540.0,570523.0,571333.0,15-198_opa_1,571240.0,1.0,15-198,Neisseria meningitidis,FA1090_opa_1/122-263,95.035,141.0,7.0,0.0,2.0,142.0,571133.0,570993.0,4.7000000000000004e-57,222.0,571293.0,570539.0
55,NZ_CP030820.1,1,1437498.0,1437538.0,1438261.0,1438279.0,1437474.0,1438278.0,15-198_opa_4,1437552.0,1.0,15-198,Neisseria meningitidis,FA1090_opa_1/122-263,95.07,142.0,7.0,0.0,1.0,142.0,1437665.0,1437806.0,1.31e-57,224.0,1437505.0,1438260.0
56,NZ_CP030820.1,1,1264171.0,1264211.0,1264919.0,1264937.0,1264146.0,1264936.0,15-198_opa_3,1264225.0,0.0,15-198,Neisseria meningitidis,,,,,,,,,,,,,
57,NZ_CP030820.1,-1,1093292.0,1093442.0,1092566.0,1092584.0,1092567.0,1093467.0,15-198_opa_2,1093278.0,1.0,15-198,Neisseria meningitidis,,,,,,,,,,,,,
58,NZ_CP030819.1,-1,571237.0,571287.0,570505.0,570523.0,570506.0,571311.0,15-215_opa_1,571223.0,0.0,15-215,Neisseria meningitidis,FA1090_opa_1/122-263,95.035,141.0,7.0,0.0,2.0,142.0,571116.0,570976.0,4.7000000000000004e-57,222.0,571276.0,570522.0
59,NZ_CP030819.1,1,1437528.0,1437568.0,1438291.0,1438309.0,1437504.0,1438308.0,15-215_opa_4,1437582.0,1.0,15-215,Neisseria meningitidis,FA1090_opa_1/122-263,95.07,142.0,7.0,0.0,1.0,142.0,1437695.0,1437836.0,1.31e-57,224.0,1437535.0,1438290.0
60,NZ_CP030819.1,1,1264202.0,1264242.0,1264950.0,1264968.0,1264177.0,1264967.0,15-215_opa_3,1264256.0,0.0,15-215,Neisseria meningitidis,,,,,,,,,,,,,
61,NZ_CP030819.1,-1,1093322.0,1093477.0,1092596.0,1092614.0,1092597.0,1093502.0,15-215_opa_2,1093308.0,0.0,15-215,Neisseria meningitidis,,,,,,,,,,,,,
62,NZ_CP030818.1,-1,571230.0,571285.0,570498.0,570516.0,570499.0,571309.0,15-236_opa_1,571216.0,1.0,15-236,Neisseria meningitidis,FA1090_opa_1/122-263,95.035,141.0,7.0,0.0,2.0,142.0,571109.0,570969.0,4.7000000000000004e-57,222.0,571269.0,570515.0
63,NZ_CP030818.1,1,1437524.0,1437559.0,1438282.0,1438300.0,1437500.0,1438299.0,15-236_opa_4,1437573.0,0.0,15-236,Neisseria meningitidis,FA1090_opa_1/122-263,95.07,142.0,7.0,0.0,1.0,142.0,1437686.0,1437827.0,1.31e-57,224.0,1437526.0,1438281.0
64,NZ_CP030818.1,1,1264204.0,1264244.0,1264952.0,1264970.0,1264179.0,1264969.0,15-236_opa_3,1264258.0,0.0,15-236,Neisseria meningitidis,,,,,,,,,,,,,
65,NZ_CP030818.1,-1,1093331.0,1093481.0,1092605.0,1092623.0,1092606.0,1093506.0,15-236_opa_2,1093317.0,1.0,15-236,Neisseria meningitidis,,,,,,,,,,,,,
66,NZ_CP030814.1,-1,571286.0,571316.0,570554.0,570572.0,570555.0,571340.0,16-579_opa_1,571272.0,0.0,16-579,Neisseria meningitidis,FA1090_opa_1/122-263,95.035,141.0,7.0,0.0,2.0,142.0,571165.0,571025.0,4.7000000000000004e-57,222.0,571325.0,570571.0
67,NZ_CP030814.1,1,1257621.0,1257661.0,1258369.0,1258387.0,1257596.0,1258386.0,16-579_opa_3,1257675.0,0.0,16-579,Neisseria meningitidis,,,,,,,,,,,,,
68,NZ_CP030814.1,1,1438989.0,1439044.0,1439758.0,1439776.0,1438965.0,1439775.0,16-579_opa_4,1439058.0,1.0,16-579,Neisseria meningitidis,,,,,,,,,,,,,
69,NZ_CP030814.1,-1,1086929.0,1086984.0,1086203.0,1086221.0,1086204.0,1087009.0,16-579_opa_2,1086915.0,0.0,16-579,Neisseria meningitidis,,,,,,,,,,,,,
70,NZ_CP030816.1,-1,574188.0,574233.0,573456.0,573474.0,573457.0,574257.0,16-92_opa_1,574174.0,0.0,16-92,Neisseria meningitidis,FA1090_opa_1/122-263,95.035,141.0,7.0,0.0,2.0,142.0,574067.0,573927.0,4.7000000000000004e-57,222.0,574227.0,573473.0
71,NZ_CP030816.1,1,1434284.0,1434319.0,1435042.0,1435060.0,1434260.0,1435059.0,16-92_opa_4,1434333.0,0.0,16-92,Neisseria meningitidis,FA1090_opa_1/122-263,95.07,142.0,7.0,0.0,1.0,142.0,1434446.0,1434587.0,1.31e-57,224.0,1434286.0,1435041.0
72,NZ_CP030816.1,1,1262051.0,1262086.0,1262794.0,1262812.0,1262026.0,1262811.0,16-92_opa_3,1262100.0,0.0,16-92,Neisseria meningitidis,,,,,,,,,,,,,
73,NZ_CP030816.1,-1,1091275.0,1091320.0,1090549.0,1090567.0,1090550.0,1091345.0,16-92_opa_2,1091261.0,1.0,16-92,Neisseria meningitidis,,,,,,,,,,,,,
74,NZ_CP012694.1,-1,327268.0,327288.0,326530.0,326548.0,326531.0,327313.0,331401_opa_1,327254.0,0.0,331401,Neisseria meningitidis,FA1090_opa_1/122-263,95.07,142.0,7.0,0.0,1.0,142.0,327142.0,327001.0,1.31e-57,224.0,327302.0,326547.0
75,NZ_CP012694.1,1,1237711.0,1237756.0,1238467.0,1238485.0,1237686.0,1238484.0,331401_opa_4,1237770.0,1.0,331401,Neisseria meningitidis,FA1090_opa_1/122-263,93.617,141.0,9.0,0.0,2.0,142.0,1237878.0,1238018.0,1.02e-53,211.0,1237718.0,1238472.0
76,NZ_CP012694.1,1,1067561.0,1067601.0,1068290.0,1068308.0,1067536.0,1068307.0,331401_opa_3,1067615.0,0.0,331401,Neisseria meningitidis,,,,,,,,,,,,,
77,NZ_CP012694.1,-1,860456.0,860571.0,859748.0,859766.0,859749.0,860596.0,331401_opa_2,860442.0,0.0,331401,Neisseria meningitidis,,,,,,,,,,,,,
78,NZ_CP015886.1,-1,441547.0,441592.0,440815.0,440833.0,440816.0,441617.0,38277_opa_1,441533.0,1.0,38277,Neisseria meningitidis,FA1090_opa_1/122-263,90.58,138.0,13.0,0.0,2.0,139.0,441426.0,441289.0,2.22e-45,183.0,441586.0,440835.0
79,NZ_CP015886.1,1,1424564.0,1424584.0,1425298.0,1425316.0,1424539.0,1425315.0,38277_opa_4,1424598.0,0.0,38277,Neisseria meningitidis,FA1090_opa_1/122-263,95.122,123.0,6.0,0.0,2.0,124.0,1424706.0,1424828.0,1.0299999999999999e-48,195.0,1424546.0,1425282.0
80,NZ_CP015886.1,1,900275.0,900330.0,901035.0,901053.0,900250.0,901052.0,38277_opa_3,900344.0,0.0,38277,Neisseria meningitidis,,,,,,,,,,,,,
81,NZ_CP015886.1,-1,684188.0,684238.0,683465.0,683483.0,683466.0,684263.0,38277_opa_2,684174.0,0.0,38277,Neisseria meningitidis,,,,,,,,,,,,,
82,NZ_CP007524.1,-1,1080312.0,1080332.0,1079574.0,1079592.0,1079575.0,1080357.0,510612_opa_1,1080298.0,0.0,510612,Neisseria meningitidis,FA1090_opa_1/122-263,95.07,142.0,7.0,0.0,1.0,142.0,1080186.0,1080045.0,1.31e-57,224.0,1080346.0,1079591.0
83,NZ_CP007524.1,1,1988528.0,1988583.0,1989294.0,1989312.0,1988503.0,1989311.0,510612_opa_4,1988597.0,0.0,510612,Neisseria meningitidis,FA1090_opa_1/122-263,93.617,141.0,9.0,0.0,2.0,142.0,1988705.0,1988845.0,1.02e-53,211.0,1988545.0,1989299.0
84,NZ_CP007524.1,1,1818037.0,1818062.0,1818752.0,1818770.0,1818012.0,1818769.0,510612_opa_3,1818076.0,0.0,510612,Neisseria meningitidis,,,,,,,,,,,,,
85,NZ_CP007524.1,-1,1612540.0,1612580.0,1611832.0,1611850.0,1611833.0,1612605.0,510612_opa_2,1612526.0,0.0,510612,Neisseria meningitidis,,,,,,,,,,,,,
86,NC_010120.1,-1,871198.0,871263.0,870460.0,870478.0,870461.0,871288.0,53442_opa_1,871184.0,0.0,53442,Neisseria meningitidis,FA1090_opa_1/122-263,94.366,142.0,8.0,0.0,1.0,142.0,871072.0,870931.0,6.090000000000001e-56,219.0,871232.0,870477.0
87,NC_010120.1,-1,1398253.0,1398318.0,1397503.0,1397521.0,1397504.0,1398343.0,53442_opa_2,1398239.0,0.0,53442,Neisseria meningitidis,FA1090_opa_1/122-263,95.07,142.0,7.0,0.0,1.0,142.0,1398127.0,1397986.0,1.31e-57,224.0,1398287.0,1397532.0
88,NC_010120.1,1,1564722.0,1564767.0,1565463.0,1565481.0,1564697.0,1565480.0,53442_opa_3,1564781.0,1.0,53442,Neisseria meningitidis,FA1090_opa_1/122-263,95.161,124.0,6.0,0.0,1.0,124.0,1564894.0,1565017.0,2.85e-49,196.0,1564734.0,1565471.0
89,NC_010120.1,1,1740447.0,1740502.0,1741228.0,1741246.0,1740423.0,1741245.0,53442_opa_4,1740516.0,1.0,53442,Neisseria meningitidis,,,,,,,,,,,,,
90,NC_017501.1,1,915201.0,915251.0,915974.0,915992.0,915177.0,915991.0,8013_opa_3,915265.0,0.0,8013,Neisseria meningitidis,FA1090_opa_1/122-263,95.775,142.0,6.0,0.0,1.0,142.0,915378.0,915519.0,2.81e-59,230.0,915218.0,915973.0
91,NC_017501.1,1,1434870.0,1434915.0,1435620.0,1435638.0,1434846.0,1435637.0,8013_opa_4,1434929.0,0.0,8013,Neisseria meningitidis,FA1090_opa_1/122-263,95.775,142.0,6.0,0.0,1.0,142.0,1435042.0,1435183.0,2.81e-59,230.0,1434882.0,1435637.0
92,NC_017501.1,-1,466345.0,466395.0,465613.0,465631.0,465614.0,466420.0,8013_opa_1,466331.0,0.0,8013,Neisseria meningitidis,,,,,,,,,,,,,
93,NC_017501.1,-1,733907.0,733952.0,733163.0,733181.0,733164.0,733976.0,8013_opa_2,733893.0,0.0,8013,Neisseria meningitidis,,,,,,,,,,,,,
94,NZ_CP021725.1,-1,546836.0,546886.0,546113.0,546131.0,546114.0,546911.0,95-134_opa_1,546822.0,0.0,95-134,Neisseria meningitidis,FA1090_opa_1/122-263,92.806,139.0,10.0,0.0,1.0,139.0,546716.0,546578.0,6.13e-51,202.0,546876.0,546124.0
95,NZ_CP021725.1,-1,1071683.0,1071768.0,1070942.0,1070960.0,1070943.0,1071793.0,95-134_opa_2,1071669.0,0.0,95-134,Neisseria meningitidis,FA1090_opa_1/122-263,95.07,142.0,7.0,0.0,1.0,142.0,1071557.0,1071416.0,1.31e-57,224.0,1071717.0,1070962.0
96,NZ_CP021725.1,1,1243081.0,1243106.0,1243832.0,1243850.0,1243056.0,1243849.0,95-134_opa_3,1243120.0,0.0,95-134,Neisseria meningitidis,FA1090_opa_1/122-263,95.07,142.0,7.0,0.0,1.0,142.0,1243233.0,1243374.0,1.31e-57,224.0,1243073.0,1243828.0
97,NZ_CP021725.1,1,1420389.0,1420449.0,1421160.0,1421178.0,1420364.0,1421177.0,95-134_opa_4,1420463.0,1.0,95-134,Neisseria meningitidis,,,,,,,,,,,,,
98,NZ_CP021523.1,-1,551035.0,551135.0,550312.0,550330.0,550313.0,551160.0,98-182_opa_1,551021.0,0.0,98-182,Neisseria meningitidis,FA1090_opa_1/122-263,92.806,139.0,10.0,0.0,1.0,139.0,550915.0,550777.0,6.13e-51,202.0,551075.0,550323.0
99,NZ_CP021523.1,-1,1077519.0,1077574.0,1076778.0,1076796.0,1076779.0,1077599.0,98-182_opa_2,1077505.0,0.0,98-182,Neisseria meningitidis,FA1090_opa_1/122-263,95.07,142.0,7.0,0.0,1.0,142.0,1077393.0,1077252.0,1.31e-57,224.0,1077553.0,1076798.0
100,NZ_CP021523.1,1,1249050.0,1249090.0,1249816.0,1249834.0,1249025.0,1249833.0,98-182_opa_3,1249104.0,0.0,98-182,Neisseria meningitidis,FA1090_opa_1/122-263,95.07,142.0,7.0,0.0,1.0,142.0,1249217.0,1249358.0,1.31e-57,224.0,1249057.0,1249812.0
101,NZ_CP021523.1,1,1419862.0,1419937.0,1420648.0,1420666.0,1419837.0,1420665.0,98-182_opa_4,1419951.0,1.0,98-182,Neisseria meningitidis,,,,,,,,,,,,,
102,NZ_CP039886.1,1,88340.0,88370.0,89033.0,89051.0,88316.0,89050.0,ATCC13120_opa_1,88384.0,0.0,ATCC13120,Neisseria flavescens,,,,,,,,,,,,,
103,NZ_CP039886.1,1,1011779.0,1011809.0,1012487.0,1012505.0,1011755.0,1012504.0,ATCC13120_opa_2,1011823.0,0.0,ATCC13120,Neisseria flavescens,,,,,,,,,,,,,
