,chromosome_metadata,strand,start_cr,stop_cr,start_term,stop_term,start_metadata,stop,n_terminus,id,in_frame,lcb_num,ref_lcb_start,ref_lcb_stop,ref_lcb_strand,query_lcb_start,query_lcb_stop,query_lcb_strand,length_ratio,start_reordered,start_reordered_flipped,strand_flipped,strain,locus,chromosome_prokka,gene,locus_tag,source,start_prokka,end
24,NZ_CP098503.2,-1,610080.0,610090.0,609330.0,609348.0,609331.0,610116.0,610066.0,10268_opa_4,0.0,3.0,471574.0,1072651.0,1.0,461720.0,1122612.0,-1.0,0.909493532982696,605825.0,938400.0,1.0,10268,C,gnl|X|10268_1,piiC_5,10268_00627,prokka,609331.0,610036.0
25,NZ_CP098503.2,1,1267865.0,1267890.0,1268601.0,1268619.0,1267840.0,1268618.0,1267904.0,10268_opa_5,0.0,5.0,1109885.0,1427944.0,1.0,1146489.0,1466867.0,1.0,0.992761675271086,1230358.0,1230358.0,1.0,10268,F,gnl|X|10268_1,piiC_6,10268_01298,prokka,1267934.0,1268618.0
26,NZ_CP098503.2,-1,1467349.0,1467359.0,1466590.0,1466608.0,1466591.0,1467384.0,1467335.0,10268_opa_6,0.0,5.0,1109885.0,1427944.0,1.0,1146489.0,1466867.0,1.0,0.992761675271086,1427670.0,1427670.0,-1.0,10268,G,gnl|X|10268_1,piiC_7,10268_01490,prokka,1466591.0,1467305.0
27,NZ_CP098503.2,-1,1516976.0,1517046.0,1516223.0,1516241.0,1516224.0,1517071.0,1516962.0,10268_opa_7,0.0,6.0,1428443.0,1532628.0,1.0,1467351.0,1570585.0,-1.0,1.0092120812910474,1477766.0,1483305.0,1.0,10268,I,gnl|X|10268_1,piiC_8,10268_01535,prokka,1516224.0,1516932.0
28,NZ_CP098503.2,1,1570551.0,1570586.0,1571327.0,1571345.0,1570527.0,1571344.0,1570600.0,10268_opa_8,0.0,6.0,1428443.0,1532628.0,1.0,1467351.0,1570585.0,-1.0,1.0092120812910474,1532569.0,1428502.0,-1.0,10268,H,gnl|X|10268_1,piiC_9,10268_01588,prokka,1570630.0,1571344.0
29,NZ_CP098503.2,-1,1892659.0,1892754.0,1891909.0,1891927.0,1891910.0,1892778.0,1892645.0,10268_opa_9,0.0,8.0,1602074.0,1891150.0,1.0,1662316.0,1951040.0,1.0,1.0012191573959903,1831948.0,1831948.0,-1.0,10268,J,gnl|X|10268_1,piiC_10,10268_01944,prokka,1891910.0,1892615.0
30,NZ_CP098503.2,-1,2099034.0,2099107.0,2098285.0,2098303.0,2098286.0,2099132.0,2099020.0,10268_opa_10,0.0,9.0,1891473.0,2155339.0,1.0,1951351.0,2210573.0,1.0,1.0179151460909954,2041040.0,2041040.0,-1.0,10268,K,gnl|X|10268_1,piiC_11,10268_02153,prokka,2098286.0,2098991.0
31,NZ_CP106921.1,-1,75606.0,75671.0,74884.0,74902.0,74885.0,75696.0,75592.0,10272_opa_1,0.0,2.0,54679.0,470301.0,1.0,55059.0,474383.0,1.0,0.9911715046121852,74330.0,74330.0,-1.0,10272,A,gnl|X|10272_1,,10272_00063,prokka,74982.0,75696.0
32,NZ_CP106921.1,-1,502735.0,502745.0,502009.0,502027.0,502010.0,502770.0,502721.0,10272_opa_2,0.0,3.0,470304.0,1064572.0,1.0,474388.0,1133876.0,-1.0,0.9011050997137172,495194.0,1039682.0,1.0,10272,E,gnl|X|10272_1,piiC_2,10272_00521,prokka,502010.0,502691.0
33,NZ_CP106921.1,1,541892.0,541932.0,542667.0,542685.0,541867.0,542684.0,541946.0,10272_opa_3,0.0,3.0,470304.0,1064572.0,1.0,474388.0,1133876.0,-1.0,0.9011050997137172,531110.0,1003766.0,-1.0,10272,D,gnl|X|10272_1,piiC_3,10272_00563,prokka,541976.0,542684.0
34,NZ_CP106921.1,-1,619782.0,619852.0,619032.0,619050.0,619033.0,619878.0,619768.0,10272_opa_4,0.0,3.0,470304.0,1064572.0,1.0,474388.0,1133876.0,-1.0,0.9011050997137172,600644.0,934232.0,1.0,10272,C,gnl|X|10272_1,piiC_4,10272_00646,prokka,619033.0,619738.0
35,NZ_CP106921.1,1,1300332.0,1300372.0,1301083.0,1301101.0,1300307.0,1301100.0,1300386.0,10272_opa_5,0.0,6.0,1220687.0,1426994.0,1.0,1289412.0,1497805.0,1.0,0.9899900668448556,1231473.0,1231473.0,1.0,10272,F,gnl|X|10272_1,piiC_5,10272_01341,prokka,1300416.0,1301100.0
36,NZ_CP106921.1,-1,1498636.0,1498681.0,1497886.0,1497904.0,1497887.0,1498706.0,1498622.0,10272_opa_6,1.0,,,,,,,,,1497887.0,1497887.0,-1.0,10272,H,gnl|X|10272_1,piiC_6,10272_01530,prokka,1497887.0,1498706.0
37,NZ_CP106921.1,1,1552021.0,1552041.0,1552747.0,1552765.0,1551997.0,1552764.0,1552055.0,10272_opa_7,0.0,7.0,1428031.0,1482703.0,1.0,1498715.0,1552414.0,-1.0,1.01811951805434,1482278.0,1428456.0,-1.0,10272,G,gnl|X|10272_1,piiC_7,10272_01583,prokka,1552404.0,1552764.0
38,NZ_CP106921.1,1,1601448.0,1601458.0,1602199.0,1602217.0,1601423.0,1602216.0,1601472.0,10272_opa_8,0.0,8.0,1483216.0,1890614.0,1.0,1552443.0,1958715.0,1.0,1.0027715422180214,1532332.0,1532332.0,1.0,10272,I,gnl|X|10272_1,piiC_8,10272_01628,prokka,1601502.0,1602216.0
39,NZ_CP106921.1,-1,1900897.0,1900917.0,1900147.0,1900165.0,1900148.0,1900941.0,1900883.0,10272_opa_9,0.0,8.0,1483216.0,1890614.0,1.0,1552443.0,1958715.0,1.0,1.0027715422180214,1831885.0,1831885.0,-1.0,10272,J,gnl|X|10272_1,piiC_9,10272_01952,prokka,1900148.0,1900952.0
40,NZ_CP106921.1,-1,2105813.0,2105858.0,2105065.0,2105083.0,2105066.0,2105883.0,2105799.0,10272_opa_10,1.0,10.0,2017967.0,2042394.0,1.0,2085114.0,2109871.0,1.0,0.9866704366441814,2037653.0,2037653.0,-1.0,10272,K,gnl|X|10272_1,piiC_10,10272_02159,prokka,2105066.0,2105795.0
41,NZ_CP098544.1,-1,70259.0,70299.0,69527.0,69545.0,69528.0,70324.0,70245.0,10296_opa_1,0.0,2.0,55352.0,187801.0,1.0,56014.0,187072.0,1.0,1.010613621450045,69009.0,69009.0,-1.0,10296,A,gnl|X|10296_1,piiC_1,10296_00060,prokka,69528.0,70215.0
42,NZ_CP098544.1,-1,75731.0,75751.0,74999.0,75017.0,75000.0,75776.0,75717.0,10296_opa_2,0.0,2.0,55352.0,187801.0,1.0,56014.0,187072.0,1.0,1.010613621450045,74540.0,74540.0,-1.0,10296,B,gnl|X|10296_1,piiC_2,10296_00063,prokka,75000.0,75687.0
43,NZ_CP098544.1,1,1054110.0,1054150.0,1054891.0,1054909.0,1054085.0,1054908.0,1054164.0,10296_opa_3,0.0,4.0,472308.0,1069985.0,1.0,543501.0,1206504.0,1.0,0.901469525778918,932584.0,932584.0,1.0,10296,C,gnl|X|10296_1,piiC_3,10296_01063,prokka,1054194.0,1054908.0
44,NZ_CP098544.1,-1,1131841.0,1131901.0,1131106.0,1131124.0,1131107.0,1131926.0,1131827.0,10296_opa_4,1.0,4.0,472308.0,1069985.0,1.0,543501.0,1206504.0,1.0,0.901469525778918,1002017.0,1002017.0,-1.0,10296,D,gnl|X|10296_1,piiC_4,10296_01146,prokka,1131107.0,1131926.0
45,NZ_CP098544.1,1,1172599.0,1172649.0,1173387.0,1173405.0,1172574.0,1173404.0,1172663.0,10296_opa_5,0.0,4.0,472308.0,1069985.0,1.0,543501.0,1206504.0,1.0,0.901469525778918,1039398.0,1039398.0,1.0,10296,E,gnl|X|10296_1,piiC_5,10296_01191,prokka,1172693.0,1173404.0
46,NZ_CP098544.1,1,1232862.0,1232897.0,1233620.0,1233638.0,1232837.0,1233637.0,1232911.0,10296_opa_6,0.0,8.0,1219875.0,1591352.0,1.0,1220643.0,1592369.0,1.0,0.9993301517784604,1232061.0,1232061.0,1.0,10296,F,gnl|X|10296_1,piiC_6,10296_01267,prokka,1232941.0,1233637.0
47,NZ_CP098544.1,-1,1427903.0,1427923.0,1427180.0,1427198.0,1427181.0,1427947.0,1427889.0,10296_opa_7,0.0,8.0,1219875.0,1591352.0,1.0,1220643.0,1592369.0,1.0,0.9993301517784604,1426275.0,1426275.0,-1.0,10296,G,gnl|X|10296_1,piiC_7,10296_01455,prokka,1427181.0,1427958.0
48,NZ_CP098544.1,1,1482165.0,1482243.0,1482942.0,1482960.0,1482140.0,1482959.0,1482257.0,10296_opa_8,1.0,8.0,1219875.0,1591352.0,1.0,1220643.0,1592369.0,1.0,0.9993301517784604,1481197.0,1481197.0,1.0,10296,H,gnl|X|10296_1,piiC_8,10296_01509,prokka,1482140.0,1482959.0
49,NZ_CP098544.1,1,1531649.0,1531694.0,1532390.0,1532408.0,1531624.0,1532407.0,1531708.0,10296_opa_9,1.0,8.0,1219875.0,1591352.0,1.0,1220643.0,1592369.0,1.0,0.9993301517784604,1530648.0,1530648.0,1.0,10296,I,gnl|X|10296_1,piiC_9,10296_01554,prokka,1531624.0,1532407.0
50,NZ_CP098544.1,1,1787443.0,1787498.0,1788212.0,1788230.0,1787418.0,1788229.0,1787512.0,10296_opa_10,0.0,12.0,1891469.0,2043400.0,1.0,1783698.0,1933075.0,-1.0,1.0170976790268915,1895253.0,2039616.0,-1.0,10296,K,gnl|X|10296_1,piiC_10,10296_01840,prokka,1787542.0,1788229.0
51,NZ_CP098544.1,1,1992067.0,1992137.0,1992878.0,1992896.0,1992043.0,1992895.0,1992151.0,10296_opa_11,1.0,11.0,1717305.0,1890642.0,1.0,1933857.0,2107261.0,-1.0,0.9996136190629974,1775469.0,1832478.0,-1.0,10296,J,gnl|X|10296_1,piiC_11,10296_02042,prokka,1992043.0,1992895.0
52,NZ_CP098468.2,-1,75620.0,75665.0,74867.0,74885.0,74868.0,75690.0,75606.0,10328_opa_1,1.0,0.0,1.0,1069996.0,1.0,1.0,1129852.0,1.0,0.9470231030463307,70902.0,70902.0,-1.0,10328,A,gnl|X|10328_1,piiC_2,10328_00063,prokka,74868.0,75690.0
53,NZ_CP098468.2,1,989357.0,989372.0,990104.0,990122.0,989331.0,990121.0,989386.0,10328_opa_2,0.0,0.0,1.0,1069996.0,1.0,1.0,1129852.0,1.0,0.9470231030463307,936919.0,936919.0,1.0,10328,C,gnl|X|10328_1,piiC_3,10328_01006,prokka,989416.0,990121.0
54,NZ_CP098468.2,-1,1067241.0,1067296.0,1066512.0,1066530.0,1066513.0,1067321.0,1067227.0,10328_opa_3,0.0,0.0,1.0,1069996.0,1.0,1.0,1129852.0,1.0,0.9470231030463307,1010013.0,1010013.0,-1.0,10328,D,gnl|X|10328_1,piiC_4,10328_01088,prokka,1066513.0,1067197.0
55,NZ_CP098468.2,1,1096635.0,1096645.0,1097352.0,1097370.0,1096610.0,1097369.0,1096659.0,10328_opa_4,0.0,0.0,1.0,1069996.0,1.0,1.0,1129852.0,1.0,0.9470231030463307,1038515.0,1038515.0,1.0,10328,E,gnl|X|10328_1,piiC_5,10328_01118,prokka,1096826.0,1097369.0
56,NZ_CP098468.2,1,1269043.0,1269053.0,1269764.0,1269782.0,1269018.0,1269781.0,1269067.0,10328_opa_5,0.0,2.0,1109719.0,1603120.0,1.0,1146938.0,1641366.0,1.0,0.9979228522656484,1231545.0,1231545.0,1.0,10328,F,gnl|X|10328_1,piiC_6,10328_01300,prokka,1269097.0,1269781.0
57,NZ_CP098468.2,-1,1468365.0,1468415.0,1467612.0,1467630.0,1467613.0,1468439.0,1468351.0,10328_opa_6,0.0,2.0,1109719.0,1603120.0,1.0,1146938.0,1641366.0,1.0,0.9979228522656484,1429728.0,1429728.0,-1.0,10328,G,gnl|X|10328_1,piiC_7,10328_01492,prokka,1467613.0,1468321.0
58,NZ_CP098468.2,1,1521807.0,1521852.0,1522563.0,1522581.0,1521782.0,1522580.0,1521866.0,10328_opa_7,1.0,2.0,1109719.0,1603120.0,1.0,1146938.0,1641366.0,1.0,0.9979228522656484,1483784.0,1483784.0,1.0,10328,H,gnl|X|10328_1,piiC_8,10328_01546,prokka,1521782.0,1522580.0
59,NZ_CP098468.2,1,1571265.0,1571280.0,1572015.0,1572033.0,1571240.0,1572032.0,1571294.0,10328_opa_8,1.0,2.0,1109719.0,1603120.0,1.0,1146938.0,1641366.0,1.0,0.9979228522656484,1533140.0,1533140.0,1.0,10328,I,gnl|X|10328_1,piiC_9,10328_01591,prokka,1571240.0,1572032.0
60,NZ_CP098468.2,-1,1893487.0,1893547.0,1892737.0,1892755.0,1892738.0,1893571.0,1893473.0,10328_opa_9,0.0,3.0,1603126.0,2155339.0,1.0,1664082.0,2213728.0,1.0,1.004670278688465,1832850.0,1832850.0,-1.0,10328,J,gnl|X|10328_1,piiC_10,10328_01944,prokka,1892738.0,1893443.0
61,NZ_CP098468.2,-1,2100170.0,2100215.0,2099418.0,2099436.0,2099419.0,2100240.0,2100156.0,10328_opa_10,1.0,3.0,1603126.0,2155339.0,1.0,1664082.0,2213728.0,1.0,1.004670278688465,2040496.0,2040496.0,-1.0,10328,K,gnl|X|10328_1,piiC_11,10328_02151,prokka,2099419.0,2100124.0
62,NZ_CP106765.1,-1,75562.0,75602.0,74839.0,74857.0,74840.0,75627.0,75548.0,10500_opa_1,0.0,0.0,1.0,470301.0,1.0,1.0,474360.0,1.0,0.9914431896517196,74200.0,74200.0,-1.0,10500,A,gnl|X|10500_1,piiC_2,10500_00064,prokka,74840.0,75518.0
63,NZ_CP106765.1,-1,502699.0,502709.0,501973.0,501991.0,501974.0,502734.0,502685.0,10500_opa_2,0.0,1.0,470304.0,1064572.0,1.0,474365.0,1129330.0,-1.0,0.9073278724817356,495354.0,1039522.0,1.0,10500,E,gnl|X|10500_1,piiC_3,10500_00524,prokka,501974.0,502655.0
64,NZ_CP106765.1,1,537371.0,537391.0,538108.0,538126.0,537346.0,538125.0,537405.0,10500_opa_3,0.0,1.0,470304.0,1064572.0,1.0,474365.0,1129330.0,-1.0,0.9073278724817356,527448.0,1007428.0,-1.0,10500,D,gnl|X|10500_1,piiC_4,10500_00561,prokka,537435.0,538125.0
65,NZ_CP106765.1,-1,615394.0,615409.0,614644.0,614662.0,614645.0,615435.0,615380.0,10500_opa_4,0.0,1.0,470304.0,1064572.0,1.0,474365.0,1129330.0,-1.0,0.9073278724817356,597584.0,937292.0,1.0,10500,C,gnl|X|10500_1,piiC_5,10500_00644,prokka,614645.0,615350.0
66,NZ_CP106765.1,1,1295883.0,1295923.0,1296637.0,1296655.0,1295858.0,1296654.0,1295937.0,10500_opa_5,0.0,2.0,1084508.0,2155339.0,1.0,1148325.0,2214782.0,1.0,1.0041014311875678,1232646.0,1232646.0,1.0,10500,F,gnl|X|10500_1,piiC_6,10500_01338,prokka,1295967.0,1296654.0
67,NZ_CP106765.1,-1,1495072.0,1495177.0,1494346.0,1494364.0,1494347.0,1495201.0,1495058.0,10500_opa_6,0.0,2.0,1084508.0,2155339.0,1.0,1148325.0,2214782.0,1.0,1.0041014311875678,1431949.0,1431949.0,-1.0,10500,G,gnl|X|10500_1,piiC_7,10500_01529,prokka,1494347.0,1495028.0
68,NZ_CP106765.1,1,1548309.0,1548349.0,1549054.0,1549072.0,1548284.0,1549071.0,1548363.0,10500_opa_7,0.0,2.0,1084508.0,2155339.0,1.0,1148325.0,2214782.0,1.0,1.0041014311875678,1486107.0,1486107.0,1.0,10500,H,gnl|X|10500_1,piiC_8,10500_01583,prokka,1548393.0,1549071.0
69,NZ_CP106765.1,1,1597756.0,1597801.0,1598542.0,1598560.0,1597731.0,1598559.0,1597815.0,10500_opa_8,1.0,2.0,1084508.0,2155339.0,1.0,1148325.0,2214782.0,1.0,1.0041014311875678,1535757.0,1535757.0,1.0,10500,I,gnl|X|10500_1,piiC_9,10500_01628,prokka,1597731.0,1598559.0
70,NZ_CP106765.1,-1,1893109.0,1893169.0,1892359.0,1892377.0,1892360.0,1893193.0,1893095.0,10500_opa_9,0.0,2.0,1084508.0,2155339.0,1.0,1148325.0,2214782.0,1.0,1.0041014311875678,1831595.0,1831595.0,-1.0,10500,J,gnl|X|10500_1,piiC_10,10500_01949,prokka,1892360.0,1893065.0
71,NZ_CP106765.1,-1,2100013.0,2100045.0,2099284.0,2099302.0,2099285.0,2100069.0,2099999.0,10500_opa_10,0.0,2.0,1084508.0,2155339.0,1.0,1148325.0,2214782.0,1.0,1.0041014311875678,2039368.0,2039368.0,-1.0,10500,K,gnl|X|10500_1,piiC_11,10500_02160,prokka,2099285.0,2099969.0
72,NZ_CP106769.1,-1,75609.0,75644.0,74850.0,74868.0,74851.0,75669.0,75595.0,10524_opa_1,0.0,0.0,1.0,2155339.0,1.0,1.0,2207788.0,1.0,0.9762436321982148,73073.0,73073.0,-1.0,10524,A,gnl|X|10524_1,piiC_2,10524_00062,prokka,74851.0,75565.0
73,NZ_CP106769.1,1,987660.0,987680.0,988415.0,988433.0,987635.0,988432.0,987694.0,10524_opa_2,0.0,0.0,1.0,2155339.0,1.0,1.0,2207788.0,1.0,0.9762436321982148,964172.0,964172.0,1.0,10524,C,gnl|X|10524_1,piiC_3,10524_01006,prokka,987724.0,988432.0
74,NZ_CP106769.1,-1,1065704.0,1065764.0,1064972.0,1064990.0,1064973.0,1065789.0,1065690.0,10524_opa_3,1.0,0.0,1.0,2155339.0,1.0,1.0,2207788.0,1.0,0.9762436321982148,1039673.0,1039673.0,-1.0,10524,D,gnl|X|10524_1,piiC_4,10524_01088,prokka,1064973.0,1065789.0
75,NZ_CP106769.1,1,1095103.0,1095113.0,1095821.0,1095839.0,1095078.0,1095838.0,1095127.0,10524_opa_4,0.0,0.0,1.0,2155339.0,1.0,1.0,2207788.0,1.0,0.9762436321982148,1069063.0,1069063.0,1.0,10524,E,gnl|X|10524_1,piiC_5,10524_01118,prokka,1095157.0,1095838.0
76,NZ_CP106769.1,1,1290286.0,1290346.0,1291057.0,1291075.0,1290261.0,1291074.0,1290360.0,10524_opa_5,1.0,0.0,1.0,2155339.0,1.0,1.0,2207788.0,1.0,0.9762436321982148,1259609.0,1259609.0,1.0,10524,F,gnl|X|10524_1,piiC_6,10524_01328,prokka,1290261.0,1291074.0
77,NZ_CP106769.1,-1,1489808.0,1489823.0,1489049.0,1489067.0,1489050.0,1489847.0,1489794.0,10524_opa_6,0.0,0.0,1.0,2155339.0,1.0,1.0,2207788.0,1.0,0.9762436321982148,1453676.0,1453676.0,-1.0,10524,G,gnl|X|10524_1,piiC_7,10524_01518,prokka,1489050.0,1489764.0
78,NZ_CP106769.1,1,1543318.0,1543378.0,1544110.0,1544128.0,1543293.0,1544127.0,1543392.0,10524_opa_7,1.0,0.0,1.0,2155339.0,1.0,1.0,2207788.0,1.0,0.9762436321982148,1506630.0,1506630.0,1.0,10524,H,gnl|X|10524_1,piiC_8,10524_01570,prokka,1543293.0,1544127.0
79,NZ_CP106769.1,1,1592811.0,1592871.0,1593612.0,1593630.0,1592786.0,1593629.0,1592885.0,10524_opa_8,1.0,0.0,1.0,2155339.0,1.0,1.0,2207788.0,1.0,0.9762436321982148,1554947.0,1554947.0,1.0,10524,I,gnl|X|10524_1,piiC_9,10524_01615,prokka,1592786.0,1593629.0
